,urls
0,http://championat20.urest.org/about
1,http://www.aiki-group.ru/
2,http://en.wikipedia.org/wiki/Russian_Badminton_team
3,http://tay-club.ru
4,http://nmflgf.join.football/
5,http://www.scarfsworld.my1.ru/
6,fuckbet.ru
7,www.baskettrade.ru
8,http://kriliasovetov-fok.ru/
9,http://equestrian.rolebb.ru
10,quiz.footballclub-talant.ru
11,http://cdus.ru/
12,https://www.sports.ru/profile/1059702632/
13,www.fightingfilms.ru
14,http://migsu.rane.ru/about/students/judo
15,http://www.ps-box.ru/vk
16,Box - Кроссовки оптом
17,www.easymotion.ru
18,http://musorgskiy.music.mos.ru/
19,http://schoolgk1.ru
20,https://mhk.dynamo.ru/
21,http://tanglang.ru/
22,http://badmintonleague.ru/
23,www.paraforyou.ru
24,http://vestadance.ru
25,http://spo.1september.ru/2001/18/2.htm
26,www.nataliasubocheva.ru
27,http://sport-93.ru
28,http://tancpole.ru
29,https://шагин.рф
30,"http://mrsss.nagradion.ru/badminton_27mssi/badminton_vish_14-15/, http://badm-vuz.ucoz.ru/"
31,www.nevashedelo.ru
32,https://badminton-vdnh.ru
33,www.report-inform.ru
34,http://open-airs.ru/zagar
35,brandsfactory.ru
36,llpf.ru
37,http://ostrouhovaolga.ru/?cat=176
38,http://box-moto.ru/
39,http://pro-fcstuttgart-vdnh.com/
40,http://www.khl.ru/ | http://mhl.khl.ru/ | http://www.nhl.com/ | http://www.fhr.ru/
41,http://svytopolk.ru/forum/424-4633-1#97563
42,http://molchanov.music.mos.ru
43,http://www.testa-dance.ru
44,http:/balet_the_best.com
45,http://radchenko.music.mos.ru/
46,http://grandtour.3hockey.ru/
47,www.chuan-shu.ru
48,www.boks3.ru
49,74.music.mos.ru
50,www.caharmony.ru
51,www.fondsambo.ru
52,www.narnia.com
53,http://wbcdynamo.ru
54,http://sdushor56-basket.ru/
55,http://oflm.ru/
56,www.fotkins.ru
57,http://www.virgo-show.com/
58,www.rusvist.ru
59,http://muzykalnaya-shkola.ru/
60,http://nagami.ru/
61,www.forsportsmen.ru
62,бампербол.рф
63,http://musicschool.moscow
64,www.moscowbruins.ru
65,BOXING.RU
66,http://moscow.slava-rugby.ru
67,https://kraski.com/
68,https://terball.ru/pingpong
69,http://penguins2000.ru/
70,https://jivovred.com/
71,http://lpvl.ru/
72,lasvegasgirls.me
73,http://na-lubky.com http://gamajun.ru
74,http://www.championika.ru/
75,http://www.flmuvao.ru/teams/index.html
76,http://ringside-rus.ru/
77,Ark-club.ru
78,alexanderduma.ru
79,купи-будущее.рф
80,https://www.red-lenta.ru
81,http://ask.fm/podslushanosail
82,"www.plavanie.info, www.swim-conference.ru"
83,www.soundevolution.ru
84,http://sdk-patriot.ru
85,www.Boxing80.ru
86,http://amfr.ru
87,w.w.w. BOLbHAZ
88,http://www.kinopoisk.ru/level/1/film/742/
89,art-bogema.ru
90,www.kidsinballet.com
91,http://www.yafutbolist.ru/
92,www.volleymsk.ru
