,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://championat20.urest.org/about,,,,,,,,,,,
0,http://www.aiki-group.ru/,,,,,,,,,,,
0,http://en.wikipedia.org/wiki/Russian_Badminton_team,,,,,,,,,,,
0,http://tay-club.ru,,,,,,,,,,,
0,http://nmflgf.join.football/,info@joinsport.io,+7 911 923 97 82,https://vk.com/pmfl_official,,, https://sun9-41.userapi.com/c846416/v846416652/13b8bf/VqoHA9Hy7FY.jpg?ava=1,,Первая Мини-футбольная Лига. Создано на Join.Football,,,
0,http://www.scarfsworld.my1.ru/,,,,,,,,,,,
0,http://fuckbet.ru,support@fuckbet.ru,,https://vk.com/fuckbet,,, https://sun1-47.userapi.com/c853520/v853520091/1d4693/ljUG1oQdYVs.jpg?ava=1,,Fuckbet,,,
0,http://www.baskettrade.ru,,,,,,,,,,,
0,http://kriliasovetov-fok.ru/,,,,,,,,Беременность. Дети. Дом и семья. Здоровье. Красота. Лечение. Макияж. Мода,https://kriliasovetov-fok.ru/#main,,
0,http://equestrian.rolebb.ru,,,,,,http://x-lines.ru/icp/abW29/191919/0/36/Rmoderatorq.png,,[Лошади и конный спорт],,,
0,http://quiz.footballclub-talant.ru,,,,,,,,,,,
0,http://cdus.ru/,russian-twist-hareketi-768x432@2x.jpg,,,,,,,Велосипеды - Руководство по велосипеду. Велофорум. Общие статьи,,,
0,https://www.sports.ru/profile/1059702632/,,,,,,,,,,,
0,http://www.fightingfilms.ru,judoshop@mail.ru,+7 (926) 235-46-79,,,,,,Кимоно для дзюдо Fighting Films в России,,,
0,http://migsu.rane.ru/about/students/judo,,,,,,,,,,,
0,http://www.ps-box.ru/vk,pr@ps-box.ru,+7 (495) 120-06-48,https://vk.com/psbox,https://www.instagram.com/p.s.box/,https://www.facebook.com/p.s.box.ru, https://sun9-51.userapi.com/c837224/v837224205/f0ca/hbKZH9RHozM.jpg?ava=1,,Подарочные сертификаты - P.S.BOX. Впечатления в подарок! Подарочный сертификат! Сертификат в подарок! Подарки со смыслом! Интернет магазин подарков.,https://ok.ru/group/54372167975162,,
0,http://Box - Кроссовки оптом,,,,,,,,,,,
0,http://www.easymotion.ru,xxx@test.ru,+7 (495) 988-00-40,http://vk.com/regru,http://instagram.com/regru/,https://www.facebook.com/REG.RU,https://www.reg.ru https://sun1-96.userapi.com/c857628/v857628684/1b682c/RmVahTFctuo.jpg?ava=1,,Домен easymotion.ru продаётся. Цена: Договорная.,https://ok.ru/regru,,
0,http://musorgskiy.music.mos.ru/,dmshmusorgskogo@culture.mos.ru,+7 (495) 629-10-10,,,,https://musorgskiy.music.mos.ru/upload/iblock/9cf/_11.png,https://musorgskiy.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени М.П. Мусоргского»: Главная,,,
0,http://schoolgk1.ru,,,,,,,,,,,
0,https://mhk.dynamo.ru/,mhc@dynamo.ru,8-800-200-17-06,https://vk.com/dynamo_mhl,https://www.instagram.com/mhkdynamo/,https://www.facebook.com/, https://sun9-20.userapi.com/c855132/v855132264/21351a/uAShK8dwEvc.jpg?ava=1,,Молодежный хоккейный клуб «Динамо» Москва,,"Краснофлотская наб., д. 3",
0,http://tanglang.ru/,,,,,,,,,,,
0,http://badmintonleague.ru/,xbadm@mail.ru,8-903-265-55-98,,,,,,Бадминтон. Клубная любительская лига.,,,
0,http://www.paraforyou.ru,Rating@Mail.ru,+7(965) 263-82-58,,,,,,Именные свитшоты\толстовки,,,
0,http://vestadance.ru,info@vestadance.ru,4894867 19 30,http://vk.com/vestaclub,,http://www.facebook.com/VestaDance, https://sun1-84.userapi.com/uT2XDi-niIn_XDQu5scv4AhGkw18tEO3Ew16nQ/6CZpc9BZNiw.jpg?ava=1,,"Школа танцев Vesta, обучение танцам, уроки танцев в группе и инивидуально, залы в аренду.",,,
0,http://spo.1september.ru/2001/18/2.htm,,,,,,,,,,,
0,http://www.nataliasubocheva.ru,info@nataliasubocheva.ru,,https://vk.com,https://instagram.com,https://facebook.com,http://www.nataliasubocheva.ru/storage/logo/u-7f484dd319094d416ad052e87cebb0b5.png ,,Субочева Наталья онлайн курс коммерческой иллюстрации,,,
0,http://sport-93.ru,s93@mossport.ru,+7 (495) 788 40 60,,,,,,Государственное бюджетное учреждение Спортивная школа 93 Москомспорта,,,
0,http://tancpole.ru,trener.ya@inbox.ru,8(926)950-34-80,https://vk.com/tancpole,https://www.instagram.com/tancpole/,,http://tancpole.ru/images/headers/LOGO.png https://sun9-70.userapi.com/c636820/v636820706/342ba/2p6ev3rSHf0.jpg?ava=1,http://tancpole.ru/index.php/tseny,Home,,"Лесная улица, 23",
0,https://шагин.рф,,,,,,,,,,,
0,"http://mrsss.nagradion.ru/badminton_27mssi/badminton_vish_14-15/, http://badm-vuz.ucoz.ru/",,,,,,,,,,,
0,http://www.nevashedelo.ru,,,,,,,,,,,
0,https://badminton-vdnh.ru,badm-vdnh@yandex.ru,+7 916 404-54-94,https://vk.com/id340899568,https://www.instagram.com/badminton_club_vdnx/,https://www.facebook.com/badminton5.ru/, ,,Бадминтон в Москве,,,
0,http://www.report-inform.ru,,,,,,,,,,,
0,http://open-airs.ru/zagar,,,,,,,,,,,
0,http://brandsfactory.ru,pravo@support.reg.ru,+7 (495) 988-00-40,http://vk.com/regru,http://instagram.com/regru/,https://www.facebook.com/REG.RU,https://www.reg.ru https://sun1-96.userapi.com/c857628/v857628684/1b682c/RmVahTFctuo.jpg?ava=1,,"Домен brandsfactory.ru продаётся. Цена: 77 000,00 р.",https://ok.ru/regru,,
0,http://llpf.ru,,,,,,,,,,,
0,http://ostrouhovaolga.ru/?cat=176,info@ostrouhovaolga.ru,+7 915 110 21 11,http://vk.com/ostrouhovaolga_danceschool,,https://www.facebook.com/dzheki.champion, https://sun1-98.userapi.com/c851220/v851220351/1ba622/g7n0lQEVYdA.jpg?ava=1,https://ostrouhovaolga.ru/school/raspisanie/,Главная страница — Школа танцев Остроуховой Ольги,,Бауманская ул. д.16,
0,http://box-moto.ru/,,,,,,,,,,,
0,http://pro-fcstuttgart-vdnh.com/,,,,,,http://fc-prostuttgart.com/assets/img/vz.jpg,,Открытый урок Москва2 ФК Stuttgart,,,
0,http://www.khl.ru/ | http://mhl.khl.ru/ | http://www.nhl.com/ | http://www.fhr.ru/,,,,,,,,,,,
0,http://svytopolk.ru/forum/424-4633-1#97563,,,,,,,,,,,
0,http://molchanov.music.mos.ru,dmshmolchanova@culture.mos.ru,8 495 451-31-65,,,,,https://molchanov.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени К.В. Молчанова»: Главная,,,
0,http://www.testa-dance.ru,,,,,,,,,,,
0,http:/balet_the_best.com,,,,,,,,,,,
0,http://radchenko.music.mos.ru/,ms-radchenko@yandex.ru,+7 (495) 777-77-77,,,,,https://radchenko.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкально-хоровая школа имени И.И. Радченко»: Главная,,,
0,http://grandtour.3hockey.ru/,,,,,,,,,,,
0,http://www.chuan-shu.ru,czyzhan@gmail.com,8 (968) 462 12 02,https://vk.com/club38342436,,, https://sun9-65.userapi.com/c840524/v840524172/5f372/nBkQ-WrRbbo.jpg?ava=1,,Клуб боевых искусств Чуань-Шу 拳術 Цзыжань-Мэнь 自然 門 (кунг-фу 功夫),,,
0,http://www.boks3.ru,boks3@prelude.ru,8 (495) 761-12-90,http://vk.com/boks3ru,,https://www.facebook.com/boks3club/, https://sun9-64.userapi.com/c638321/v638321537/f024/2qBWF4QJUYs.jpg?ava=1,,Главная,,"Кетчерская улица, 13",
0,http://74.music.mos.ru,uslugi@mos.ru,8-495-105-97-89,,,,,https://74.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа №74»: Главная,,,
0,http://www.caharmony.ru,ninamusic@rambler.ru,+7 903 257-67-81,https://vk.com/muzstudiya_garmoniya,,, https://sun9-43.userapi.com/c852228/v852228139/1ad5a6/q3uPWtXycZ4.jpg?ava=1,,Концертное Агентство ГАРМОНИЯ,,,
0,http://www.fondsambo.ru,mail@fondsambo.ru,8-812-346-44-34,,,,,,Фонд поддержки и развития самбо,,,
0,http://www.narnia.com,,,,,,,,,,,
0,http://wbcdynamo.ru,office@wbcdynamo.ru,+7 499 726 38 65,https://vk.com/album-33810374_269470501,https://www.instagram.com/dynamobasket/,https://www.facebook.com/wbcdynamo, ,,Женский баскетбольный клуб «ДИНАМО» Москва,,,
0,http://sdushor56-basket.ru/,info@mbabasket.pro,8(495) 467-73-57,,,,,,БАСКЕТБОЛЬНАЯ ШКОЛА СДЮCШОР №56,,,
0,http://oflm.ru/,artpli333@rambler.ru,8- 903-251-53-76,,,,http://oflm.ru/wp-content/uploads/2019/11/tvUTcSUKPAQ-3-750x350.jpg,,ОФЛМ – Открытая Футбольная Лига Москвы,,,
0,http://www.fotkins.ru,zakaz@fotkins.ru,8(925)196-68-06,https://vk.com/fotkins_ru,https://www.instagram.com/fotkins.ru/,https://www.facebook.com/fotkins.ru, https://sun9-68.userapi.com/c854120/v854120278/20bea5/5evrR3JXIr8.jpg?ava=1,https://fotkins.ru/calendars/pockets,"Печать сувениров, полиграфии и фотопродукции в Москве",,"Большой Спасоглинищевский переулок, 3с1",Китай-город (линия 7)
0,http://www.virgo-show.com/,virgo-show@mail.ru,7 916 625 07 96,https://vk.com/virgoshow,https://www.instagram.com/ballet_virgo_show/,https://www.facebook.com/groups/715851365126338/?pnref=story,"https://static.wixstatic.com/media/bfe9f1_326659771f794bc1b8f9826ac53d0f23.jpg/v1/fit/w_2500,h_1330,al_c/bfe9f1_326659771f794bc1b8f9826ac53d0f23.jpg https://sun9-66.userapi.com/c852120/v852120275/11edbd/JNIcJIVQMuA.jpg?ava=1",,Шоу балет | Шоу балет VIRGO Show г.Москва | Москва,,3-я мытищинская д.3 стр.1,Алексеевская
0,http://www.rusvist.ru,,,,,,,,,,,
0,http://muzykalnaya-shkola.ru/,info@muzykalnaya-shkola.ru,+7 (925) 665-20-15,,https://www.instagram.com/schoolmaestro/,https://web.facebook.com/schoolmaestrom/,http://muzykalnaya-shkola.ru/wp-content/uploads/2019/09/Dizayn-bez-nazvaniya-2.jpg,http://muzykalnaya-shkola.ru/kursy-i-ceny/kursy-udarnyx-instrumentov/,,,,
0,http://nagami.ru/,,,,,,,,,,,
0,http://www.forsportsmen.ru,,,,,,,,,,,
0,http://бампербол.рф,,,,,,,,,,,
0,http://musicschool.moscow,info@ms4a.ru,+7 (963) 681-20-81,https://vk.com/away.php?to=https%3A%2F%2Fgoo.gl%2Fforms%2FWA9Vf32cfBeze8OC3&post=-40882798_1474&cc_key=,,https://www.facebook.com/groups/musicschool.moscow, ,http://musicschool.moscow/raspisanie,Музыкальная школа для взрослых Екатерины Заборонок,,,
0,http://www.moscowbruins.ru,,,,,,,,,,,
0,http://BOXING.RU,zt@boxing.ru,5673 837 16 16,https://vk.com/trueboxing,https://www.instagram.com/_boxing.ru/,https://www.facebook.com/Boxingru-1713507562013562/, https://sun9-45.userapi.com/c639331/v639331183/554d4/DGubmS6N46I.jpg?ava=1,,Новости бокса - последние новости профессионального бокса со всего мира,,,
0,http://moscow.slava-rugby.ru,,,,,,,,,,,
0,https://kraski.com/,sales@kraski.com,+7 919 725-74-61,https://vk.com/kraski_com,https://instagram.com/kraski.com_/,https://facebook.com/Kraskicom-стильная-одежда-с-принтами-662766044154288/, https://sun9-9.userapi.com/c855128/v855128824/3fb6/4iRMhd6TPeQ.jpg?ava=1,,Купить одежду с принтами в интернет магазине,,1-я Бухвостова 12\11,Преображенская площадь
0,https://terball.ru/pingpong,inbox@terball.ru,+7 495 055-19-81,https://vk.com/terball,https://www.instagram.com/terball.ru/,https://www.facebook.com/terball.ru,https://terball.ru/sites/default/files/styles/image-400/public/gallery/trener_po_nastolnomu_tennisu_4.jpg?itok=cPi7BiFV https://sun1-23.userapi.com/c840439/v840439751/6b3c6/S-moU0IWj14.jpg?ava=1,https://terball.ru/calendar,Настольный теннис,,"Москва, ул. Шарикоподшипниковская, 13 стр. 24",Дубровка
0,http://penguins2000.ru/,,,,,,,,/ - Сервис регистрации доменов и хостинга *.RU-TLD.RU,,,
0,https://jivovred.com/,,,,,,,,Животные-вредители и борьба с ними,,,
0,http://lpvl.ru/,Rating@Mail.ru,+7 (495) 514-05-73,,,,,,Истёк срок регистрации домена,,,
0,http://lasvegasgirls.me,,,,,,,,,,,
0,http://na-lubky.com http://gamajun.ru,,,,,,,,,,,
0,http://www.championika.ru/,pr@championika.ru,8 926 183 53 98,,,,https://championika.ru/_img/logo.png,,"Занятия футболом для детей в Москве, тренировки для детей по футболу в Чемпионике",,,
0,http://www.flmuvao.ru/teams/index.html,,,,,,,,,,,
0,http://ringside-rus.ru/,,,,,,,,,,,
0,http://Ark-club.ru,,,,,,,,,,,
0,http://alexanderduma.ru,Maliwkanomer1@mail.ru,+7 (495) 229 20 68,https://vk.com/musicals.operetta,https://www.instagram.com/musicals.operetta/,https://www.facebook.com/musicals.operetta/, https://sun1-22.userapi.com/_WIdTjXKzaRRghBKds2whC0G2p2Lt_mYXEqARA/RcpUEmuI5Nw.jpg?ava=1,,«Монте-Кристо» – Московский мюзикл по роману Александра Дюма в театре «Московская Оперетта»,,"улица Большая Дмитровка, 6",Театральная
0,http://купи-будущее.рф,,,,,,,,,,,
0,https://www.red-lenta.ru,,,,,,,,,,,
0,http://ask.fm/podslushanosail,copyright@ask.fm,,https://vk.com/askfm,https://instagram.com/askfm,https://www.facebook.com/askfmpage, https://sun1-23.userapi.com/c850024/v850024705/d7d75/VCPYmU81I30.jpg?ava=1,,Sailpodslushano (@podslushanosail). Ask me anything on,,,
0,"http://www.plavanie.info, www.swim-conference.ru",,,,,,,,,,,
0,http://www.soundevolution.ru,,,,,,,,,,,
0,http://sdk-patriot.ru,,,,,,,,,,,
0,http://www.Boxing80.ru,,+7 (965)-100-80-80,https://m.vk.com/club68898966,http://www.instagram.com/boxing80_academy/,http://facebook.com/boxing80.ru/,http://boxing80.ru/wp-content/uploads/2017/08/IMG_6187.jpg https://sun9-57.userapi.com/c621703/v621703249/2528c/xnTCC-Q1EDI.jpg?ava=1,,АКАДЕМИЯ БОКСА — Олимпийская деревня-80,,"мичуринский проспект, олимпийская деревня дом.2",Юго-Западная
0,http://amfr.ru,shop@amfr.ru,+7 495 926-13-16,https://vk.com/amfr_official,https://www.instagram.com/amfr_official/,http://www.facebook.com/AMFRofficial,http://amfr.ru/local/templates/common/images/logo.png https://sun1-87.userapi.com/c631231/v631231740/35db2/LlMzbvPo6Oo.jpg?ava=1,http://amfr.ru/league/super/calendar/,Ассоциация мини-футбола России,,,
0,http://w.w.w. BOLbHAZ,,,,,,,,,,,
0,http://www.kinopoisk.ru/level/1/film/742/,,,,,,,,,,,
0,http://art-bogema.ru,,,,,,,,,,,
0,http://www.kidsinballet.com,,,,,,,,,,,
0,http://www.yafutbolist.ru/,support@maps.yandex.ru,+7 (499) 785-88-66,https://vk.com/yafutbolist2,https://www.instagram.com/fcwings/,, https://sun9-41.userapi.com/c830408/v830408440/9e135/QxID5QVYIPI.jpg?ava=1,http://www.yafutbolist.ru/index.php/raspisanie-trenirovok,Секция подготовки детей по футболу - Новости секции,,,
0,http://www.volleymsk.ru,foto@volleymsk.ru,8 965 117 90 87,https://vk.com/album-377479_269432076,,, ,http://www.volleymsk.ru/main/raspisanie_stikovih_igr_22_dekabrya_2019_goda/,volleymsk.ru | Любительская Волейбольная Лига | Новости,,,
0,http://www.nikitadmitrievsky.com,,,,,https://www.facebook.com/NikitaDmitrievsky/,,,Nikita Dmitrievsky,,,
0,http://cash-box.su,,,,,,,,,,,
0,http://www.badmintonik.com/,ya.ya-badmi@yandex.ru,+7 (903) 204-82-96,,,,,,Бадминтоник,,,
0,https://mm-games.ru,,,,,,,,,,,
