,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://nmflgf.join.football/,info@joinsport.io,89119239782,https://vk.com/pmfl_official,,, https://sun9-41.userapi.com/c846416/v846416652/13b8bf/VqoHA9Hy7FY.jpg?ava=1,,Первая Мини-футбольная Лига. Создано на Join.Football,,,
1,http://fuckbet.ru,support@fuckbet.ru,nan,https://vk.com/fuckbet,,, https://sun1-47.userapi.com/c853520/v853520091/1d4693/ljUG1oQdYVs.jpg?ava=1,,Fuckbet,,,
2,http://kriliasovetov-fok.ru/,,nan,,,,,,Беременность. Дети. Дом и семья. Здоровье. Красота. Лечение. Макияж. Мода,https://kriliasovetov-fok.ru/#main,,
3,http://equestrian.rolebb.ru,,nan,,,,http://x-lines.ru/icp/abW29/191919/0/36/Rmoderatorq.png,,[Лошади и конный спорт],,,
4,http://cdus.ru/,russian-twist-hareketi-768x432@2x.jpg,nan,,,,,,Велосипеды - Руководство по велосипеду. Велофорум. Общие статьи,,,
5,http://www.fightingfilms.ru,judoshop@mail.ru,89262354679,,,,,,Кимоно для дзюдо Fighting Films в России,,,
6,http://www.ps-box.ru/vk,pr@ps-box.ru,84951200648,https://vk.com/psbox,https://www.instagram.com/p.s.box/,https://www.facebook.com/p.s.box.ru, https://sun9-51.userapi.com/c837224/v837224205/f0ca/hbKZH9RHozM.jpg?ava=1,,Подарочные сертификаты - P.S.BOX. Впечатления в подарок! Подарочный сертификат! Сертификат в подарок! Подарки со смыслом! Интернет магазин подарков.,https://ok.ru/group/54372167975162,,
7,http://www.easymotion.ru,xxx@test.ru,84959880040,http://vk.com/regru,http://instagram.com/regru/,https://www.facebook.com/REG.RU,https://www.reg.ru https://sun1-96.userapi.com/c857628/v857628684/1b682c/RmVahTFctuo.jpg?ava=1,,Домен easymotion.ru продаётся. Цена: Договорная.,https://ok.ru/regru,,
8,http://musorgskiy.music.mos.ru/,dmshmusorgskogo@culture.mos.ru,84956291010,,,,https://musorgskiy.music.mos.ru/upload/iblock/9cf/_11.png,https://musorgskiy.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени М.П. Мусоргского»: Главная,,,
9,https://mhk.dynamo.ru/,mhc@dynamo.ru,88002001706,https://vk.com/dynamo_mhl,https://www.instagram.com/mhkdynamo/,https://www.facebook.com/, https://sun9-20.userapi.com/c855132/v855132264/21351a/uAShK8dwEvc.jpg?ava=1,,Молодежный хоккейный клуб «Динамо» Москва,,"Краснофлотская наб., д. 3",
10,http://badmintonleague.ru/,xbadm@mail.ru,89032655598,,,,,,Бадминтон. Клубная любительская лига.,,,
11,http://www.paraforyou.ru,Rating@Mail.ru,89652638258,,,,,,Именные свитшоты\толстовки,,,
12,http://vestadance.ru,info@vestadance.ru,48948671930,http://vk.com/vestaclub,,http://www.facebook.com/VestaDance, https://sun1-84.userapi.com/uT2XDi-niIn_XDQu5scv4AhGkw18tEO3Ew16nQ/6CZpc9BZNiw.jpg?ava=1,,"Школа танцев Vesta, обучение танцам, уроки танцев в группе и инивидуально, залы в аренду.",,,
13,http://www.nataliasubocheva.ru,info@nataliasubocheva.ru,nan,https://vk.com,https://instagram.com,https://facebook.com,http://www.nataliasubocheva.ru/storage/logo/u-7f484dd319094d416ad052e87cebb0b5.png ,,Субочева Наталья онлайн курс коммерческой иллюстрации,,,
14,http://sport-93.ru,s93@mossport.ru,84957884060,,,,,,Государственное бюджетное учреждение Спортивная школа 93 Москомспорта,,,
15,http://tancpole.ru,trener.ya@inbox.ru,89269503480,https://vk.com/tancpole,https://www.instagram.com/tancpole/,,http://tancpole.ru/images/headers/LOGO.png https://sun9-70.userapi.com/c636820/v636820706/342ba/2p6ev3rSHf0.jpg?ava=1,http://tancpole.ru/index.php/tseny,Home,,"Лесная улица, 23",
16,https://badminton-vdnh.ru,badm-vdnh@yandex.ru,89164045494,https://vk.com/id340899568,https://www.instagram.com/badminton_club_vdnx/,https://www.facebook.com/badminton5.ru/, ,,Бадминтон в Москве,,,
