,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://taneev.music.mos.ru/,dmshtaneeva@culture.mos.ru,+7 (495) 105-96-91,,,,https://taneev.music.mos.ru/upload/iblock/929/image-al.jpeg,https://taneev.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени С.И. Танеева»: Главная,,,
0,http://taneev-center.ru/,,,,,,,,,,,
0,http://www.gotennis.ru/players/WTA/Inna%20Bondarenko.html#,,,,,,,,,,,
0,http://edu.jazzemotion.ru,,,,,,,,,,,
0,http://dokschitser.music.mos.ru/,dmshdokshicera@culture.mos.ru,+7 (499) 648-81-48,https://vk.com/dokschitser,,, https://sun9-15.userapi.com/c845221/v845221164/f7786/R74ZRE7sL1o.jpg?ava=1,https://dokschitser.music.mos.ru/education_activities/schedule/,ГБУДО г. Москвы «Детская музыкальная школа имени Т.А. Докшицера»: Главная,,Неманский проезд д.5 к.2,
0,http://mazaica.ru/spontannoe/,olga@rodiontseva.ru,,https://vk.com/event181350100?w=wall-181350100_20,https://www.instagram.com/tv/Bx-L4UnhviS/,,http://mazaica.ru/wp-content/uploads/2019/04/53752132_1217620061720689_258415885708951552_n-1200x847.jpg ,,Спонтанное рисование,,,
0,http://promo.milone.ru,,,,,,,,,,,
0,http://www.artbuz.info,,,,,,,,,,,
0,http://aleksandrov.music.mos.ru,dmshaleksandrova@culture.mos.ru,+7 (495) 777-77-77,,,,,https://aleksandrov.music.mos.ru/education_activities/schedule/,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА ИМЕНИ А.Н. АЛЕКСАНДРОВА"": Главная",,,
0,http://novikov.music.mos.ru,dmshnovikova@culture.mos.ru,+7 903 157 82 82,,,,,https://novikov.music.mos.ru/education_activities/raspisanie-gruppovykh-zanyatiy-2018-2019/,ГБУДО г. Москвы «Детская музыкальная школа имени А.Г. Новикова»: Главная,,,
0,http://lafare.ru,pr@lafare.ru,,https://vk.com/lafare_ru?z=photo-100326371_415697734%2Falbum-100326371_00%2Frev,http://instagram.com/lafare.ru,http://facebook.com/lafare.ru, ,,Ляфаре - музыкальная школа,,,
0,http://classicsound.webservis.ru,schoolclassic@gmail.com,+7 (495) 369-10-98,,,,,,Музыкальная школа для взрослых «Классическое звучание» открывает свои двери,,,
0,http://ipadpainting.ru,,,,,,,,,,,
